TUFINLWGT,TEAGE,Sex,Employment_Status,InSchool,EmploymentStatusSpouse,WeekdayReported,TRHOLIDAY,TRTEC,TRTHH,1,101,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,50
3359665.506,44,Female,Employed - at work,Yes,Employed,Sunday,0,-1,0,90,675,90,0,0,0,210,0,0,0,0,30,130,0,95,30,30,,60,0
28573540.61,27,Male,Employed - at work,Yes,Employed,Thursday,0,-1,60,20,480,0,0,0,480,0,0,0,0,0,60,160,0,0,0,0,,100,140
4490816.964,39,Male,Employed - at work,Yes,,Friday,0,-1,0,15,408,95,0,220,368,0,0,0,0,0,50,225,25,0,0,0,,34,0
22058495.15,20,Male,Employed - at work,Yes,,Monday,0,-1,0,55,543,0,0,120,0,135,0,0,0,0,40,480,0,0,0,0,,22,45
6743198.562,23,Female,Not in labor force,Yes,,Saturday,0,-1,0,220,540,120,0,0,0,180,0,0,0,0,210,70,0,0,0,0,,100,0
8167715.081,16,Male,Employed - at work,Yes,,Wednesday,0,-1,0,35,480,0,0,0,225,410,0,0,0,0,40,140,0,0,0,0,,50,60
9855351.331,25,Female,Employed - at work,Yes,Employed,Monday,0,-1,0,60,460,82,0,0,505,120,0,0,0,0,42,103,20,0,0,0,,48,0
7829284.912,17,Female,Employed - at work,Yes,,Sunday,0,-1,0,110,655,15,0,0,0,236,0,0,0,0,150,160,60,0,0,0,,54,0
10701702.96,17,Female,Unemployed - looking,Yes,,Wednesday,0,-1,0,30,570,0,5,0,0,0,0,0,0,0,80,735,0,0,0,0,,20,0
13299829.85,17,Female,Not in labor force,Yes,,Sunday,0,-1,0,25,980,60,0,0,0,0,0,0,0,0,10,180,0,115,0,30,,40,0
14481541.66,16,Male,Not in labor force,Yes,,Tuesday,0,-1,0,30,435,0,0,0,0,531,0,0,0,0,104,240,0,0,0,0,,100,0
